Zipcodes,Total Population,Population Density (Per Sq. Mile),Area (Land),Male,Female,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households:,Family Households:,Married-Couple Family,Other Family:,"Male Householder, No Wife Present","Female Householder, No Husband Present",Nonfamily Households:,Male Householder,Female Householder,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Owner Occupied,Renter Occupied,Population for Whom Poverty Status Is Determined:,Under 1.00 (Doing Poorly),1.00 to 1.99 (Struggling),Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Poor/Struggling Rate,White_rate,Black_rate,Native_rate,Asian_rate,pacific_islander_rate,other_rate,single_parent_rate
60644,46591,13297.5,3.5,21919,24672,3337,3289,3640,1838,4414,6685,5788,5419,5711,3655,2206,609,2885,41383,16,129,24,1757,397,16736,9347,2638,6709,917,5792,7389,3464,3925,26900,19556,16736,4680,12056,45654,15411,13112,28523,17131,0.624764533,0.06192183,0.888218755,0.000343414,0.002768775,0.000515121,0.037711146,0.400872371
60645,47270,20938.7,2.26,23745,23525,4422,3241,3216,1922,3217,7252,6424,6164,5067,3522,1918,905,25817,7274,101,8482,0,3389,2207,16004,10631,7748,2883,1005,1878,5373,2737,2636,57572,17719,16004,8208,7796,46723,9119,10910,20029,26694,0.428675385,0.546160355,0.153881955,0.002136662,0.179437275,0,0.071694521,0.180142464
60646,28569,6249.1,4.57,13259,15310,1801,1802,1854,1050,1517,3453,3460,4320,3398,2907,2091,916,24209,296,7,2781,0,588,688,10953,7366,5868,1498,347,1151,3587,1232,2355,95593,11510,10953,8290,2663,28384,2052,2942,4994,23390,0.175944194,0.847387028,0.010360881,0.000245021,0.097343274,0,0.020581749,0.136766183
60647,87633,21802.3,4.02,44405,43228,5848,3831,3771,2442,7963,26828,14792,9314,6529,4180,1622,513,67940,5065,463,3132,35,7523,3475,35383,17180,11899,5281,1545,3736,18203,9660,8543,78413,39159,35383,13464,21919,87225,12165,14761,26926,60299,0.308695901,0.775278719,0.057797862,0.005283398,0.035739961,0.000399393,0.085846656,0.149252466
60649,46633,15919.7,2.93,20043,26590,3122,2578,3154,1545,4099,6903,6786,5584,6139,4012,1934,777,1782,43575,74,158,0,396,648,21460,8574,2555,6019,679,5340,12886,5881,7005,31921,26932,21460,4660,16800,45751,14577,9452,24029,21722,0.525212564,0.038213282,0.93442412,0.001586859,0.003388159,0,0.008491841,0.280475303
60651,63492,18164.8,3.5,29276,34216,4563,4861,4384,3269,6431,9649,8429,7770,6636,4817,1996,687,12891,32798,255,343,0,15768,1437,19860,13652,6147,7505,1646,5859,6208,2550,3658,38955,22726,19860,8738,11122,63009,15697,16649,32346,30663,0.513355235,0.203033453,0.516569017,0.004016254,0.005402255,0,0.248346248,0.377895267
60652,43447,8664,5.01,20441,23006,2695,3301,3607,1757,4507,5175,5835,6010,5499,3030,1376,655,12645,19821,42,459,14,8845,1621,13476,9874,6141,3733,1202,2531,3602,1272,2330,70702,14148,13476,11118,2358,43098,5532,6880,12412,30686,0.287994803,0.291044261,0.456211016,0.000966695,0.010564596,0.000322232,0.203581375,0.277010982
60653,33154,14213.3,2.33,14342,18812,2902,2356,2543,1361,2675,5077,4197,3730,4074,2353,1444,442,2002,29615,166,430,8,188,745,14987,6953,2084,4869,712,4157,8034,3398,4636,31093,16729,14987,3763,11224,32617,10640,6615,17255,15362,0.52901861,0.060384871,0.893255716,0.005006937,0.012969777,0.000241298,0.005670507,0.324881564
60655,28569,6486.1,4.4,13942,14627,1922,1732,2151,1220,2464,3218,3984,3812,4418,2083,991,574,25580,1886,21,436,0,308,338,10190,7079,5714,1365,401,964,3111,1547,1564,102813,10779,10190,8810,1380,27946,1199,1646,2845,25101,0.101803478,0.895376107,0.066015611,0.000735062,0.015261297,0,0.010780916,0.133954858
60656,28218,8633.5,3.27,14422,13796,1878,1466,1275,622,1433,5099,4104,3525,3848,2616,1644,708,23529,363,12,2401,23,1024,866,12079,7502,5896,1606,577,1029,4577,2565,2012,64440,12761,12079,7476,4603,28208,2129,4683,6812,21396,0.241491775,0.833829471,0.012864129,0.00042526,0.085087533,0.000815083,0.036288894,0.132958026
60657,70958,31211,2.27,35652,35306,3875,2278,2031,767,8777,25367,10206,6868,5087,3430,1543,729,61035,2146,89,4969,49,507,2163,37088,12063,10539,1524,591,933,25025,12055,12970,95173,40259,37088,14600,22488,70637,5294,4038,9332,61305,0.132112066,0.860156712,0.030243242,0.001254263,0.07002734,0.000690549,0.007145072,0.041091458
60659,42735,21078.1,2.03,21491,21244,3272,3189,3301,1456,3700,6596,6109,5088,4921,3262,1158,683,22384,3527,530,11883,17,1743,2651,13485,9528,6615,2913,1149,1764,3957,2006,1951,52239,14741,13485,5479,8006,42328,9942,9780,19722,22606,0.465932716,0.523786124,0.082531883,0.012402012,0.278062478,0.0003978,0.040786241,0.216017798
60660,44498,34497.1,1.29,22471,22027,2009,1558,1108,686,5525,10336,6439,5920,4975,3585,1495,862,29094,5964,134,6068,18,1570,1650,21084,8025,5764,2261,780,1481,13059,6837,6222,50966,23559,21084,7740,13344,41528,6641,7631,14272,27256,0.34367174,0.653827138,0.134028496,0.003011371,0.136365679,0.000404513,0.035282485,0.107237716
60707,43093,11944.1,3.61,20537,22556,2331,2705,2306,1640,4033,5457,5840,5912,5890,4233,1914,832,31157,3042,205,1533,0,5855,1301,15354,10419,7352,3067,879,2188,4935,2185,2750,61718,16680,15354,10228,5126,42894,3480,7995,11475,31419,0.267519933,0.723017659,0.070591511,0.004757153,0.035574223,0,0.135868935,0.199752507
60827,28483,4060.4,7.01,12466,16017,2578,2248,2154,1249,2936,4060,3481,3680,3238,1956,663,240,1950,25707,34,39,0,263,490,10878,6593,2089,4504,540,3964,4285,1905,2380,32329,13224,10878,4444,6434,28439,8654,7933,16587,11852,0.583248356,0.06846189,0.902538356,0.001193694,0.001369238,0,0.009233578,0.4140467
